Display_Name,country,sovereign,Status_GYR,protection_mpaguide_level,establishment_stage,designation,pa_type,area_km2,wdpa_id,wdpa_pid,Boundary_Join_Key,id,site_assessment_id,mpa_zone_id,proposed_date,designated_date,implemented_date,formally_recognized,regulations_in_force,status,affiliated_reports,source_file
Ala-I'amanu,WSM,WSM,Green,full,implemented,Marine Protected Area,"mpa, primary conservation",1280.7762236875,,,,6038,3615,,2024-10-01,2025-05-01,2025-05-01,yes,yes,published,,designated_implemented
Lord Howe,AUS,AUS,Green,high,actively managed,Marine Park,unknown,1170.381081890625,,None,None,2224,46,68808998.0,,2013-12-14,2018-07-01,yes,yes,published,Pike et al. (2024),designated_implemented
iSimangaliso,ZAF,ZAF,Green,full,actively managed,Restricted Zone South,"mpa, multiple-objective",1130.0982624765625,,,,5542,478,68821484.0,2016-02-01,2019-05-23,2019-03-01,yes,yes,published,Field et al. (2025),designated_implemented
Amathole Offshore,ZAF,ZAF,Green,full,actively managed,Restricted Zone,"mpa, multiple-objective",1067.2774774257812,,,,5531,475,68821473.0,,2019-01-01,2019-01-01,yes,yes,published,Field et al. (2025),designated_implemented
Hawaiian Islands,USA,USA,Green,full,actively managed,National Wildlife Refuge,"mpa, primary conservation",1036.502041921875,,,,2218,3,68819571.0,,1909-02-03,,yes,yes,published,Sullivan-Stack et al. (2022),designated_implemented
uThukela,ZAF,ZAF,Green,full,actively managed,Restricted Zone,"mpa, multiple-objective",988.0882698710938,,,,5580,480,68821522.0,,2019-01-01,2019-01-01,yes,yes,published,Field et al. (2025),designated_implemented
Tubbataha Reefs,PHL,PHL,Green,full,actively managed,Natural Park,unknown,968.2589380410157,,555549230,555549230,450,3323,68813303.0,,1988-08-11,,yes,yes,published,,designated_implemented
Orange Shelf Edge,ZAF,ZAF,Green,full,implemented,Sanctuary Zone,"mpa, multiple-objective",950.2540110859376,,,,5612,486,68821554.0,,2019-01-01,2019-01-01,yes,yes,published,Field et al. (2025),designated_implemented
Orange Shelf Edge,ZAF,ZAF,Green,full,implemented,Sanctuary Zone,"mpa, multiple-objective",892.0432242070312,,,,5613,486,68821555.0,,2019-01-01,2019-01-01,yes,yes,published,,designated_implemented
Parque Nacional Marinho Dos Abrolhos,BRA,BRA,Green,full,actively managed,Park,unknown,879.4676436953125,,81060,81060,1358,2938,2497.0,,1983-04-06,,yes,yes,published,,designated_implemented
Great Barrier Reef,AUS,AUS,Green,full,actively managed,Marine Park,"mpa, primary conservation",859.5253611328125,,None,None,409,68,7700301.0,,1975-01-01,2004-01-01,yes,yes,published,Pike et al. (2024),designated_implemented
Protea Banks,ZAF,ZAF,Green,full,implemented,Restricted Zone,"mpa, multiple-objective",825.5215470625,,,,5536,476,68821478.0,,2019-01-01,2019-01-01,yes,yes,published,Field et al. (2025),designated_implemented
Perairan Kepulauan Fam (Raja Ampat),IDN,IDN,Green,full,actively managed,None,"mpa, primary conservation",790.3520783085937,,None,None,3672,124,68819775.0,,2007-01-01,2009-01-01,yes,yes,published,,designated_implemented
